Timestep;Food;Prey;Prey2;Predators
661;53;0;0;1
662;53;0;0;1
663;53;0;0;1
664;53;0;0;1
665;54;0;0;1
666;54;0;0;1
667;54;0;0;1
668;54;0;0;1
669;54;0;0;1
670;54;0;0;1
671;54;0;0;1
672;55;0;0;1
673;55;0;0;1
674;55;0;0;1
675;55;0;0;1
676;55;0;0;1
677;55;0;0;1
678;55;0;0;1
679;56;0;0;1
